PARID,Tax Year,Case Number,Reason,Application Date,RESDATE,RESACT,Value in Dispute,VALCASE,Case Status,PROPERTY TYPE,CLASS,REGION,CITYNAME,District,Township,School District,NBHD,Hearing Type,TAXYR (NUMBER),Noticval,Txpyval,Note
531308.264D,2017,2017-385,Value in dispute,4/2/18,8/31/18,,0,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,3605000,Board of Revision,2017,400,400,
531308.266D,2017,2017-385,Value in dispute,4/2/18,8/31/18,,0,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,3605000,Board of Revision,2017,1800,1800,
531308.268D,2017,2017-385,Value in dispute,4/2/18,8/31/18,,79600,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,3605000,Board of Revision,2017,82400,2800,
413104E563.,2017,2017-386,Value in dispute,4/2/18,9/14/18,,25100,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1415000,Board of Revision,2017,144100,119000,
413217B338.,2017,2017-387,Value in dispute,4/2/18,6/13/18,,38500,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1639000,Board of Revision,2017,278500,240000,
360317B009A,2017,2017-388,Value in dispute,4/2/18,9/11/18,,5978,,,RP,R,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,3203000,Board of Revision,2017,9900,3922,
360317B010C,2017,2017-388,Value in dispute,4/2/18,9/11/18,,21214,,,RP,R,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,3207000,Board of Revision,2017,74300,53086,
413105C039.,2017,2017-389,Value in dispute,4/2/18,9/20/18,,49100,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1658000,Board of Revision,2017,59700,10600,
413105C260.,2017,2017-389,Value in dispute,4/2/18,9/20/18,,89200,,,RP,C,41,CINCINNATI,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1658000,Board of Revision,2017,108600,19400,
182515G148.,2017,2017-390,Value in dispute,4/2/18,9/11/18,,35100,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,423000,Board of Revision,2017,215100,180000,
182410B105.,2017,2017-391,Value in dispute,3/30/18,8/16/18,,30900,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,126000,Board of Revision,2017,234900,204000,
112211A016.,2017,2017-392,Value in dispute,4/3/18,9/11/18,,-6470,,,RP,A,11,GOSHEN,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,A4175000,Board of Revision,2017,263530,270000,
172521E155.,2017,2017-393,Value in dispute,3/30/18,9/11/18,,31000,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,457000,Board of Revision,2017,211000,180000,
184619A054.,2017,2017-394,Value in dispute,3/30/18,9/20/18,,49900,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,306000,Board of Revision,2017,163900,114000,
184020.027.,2017,2017-395,Value in dispute,3/30/18,9/26/18,,44600,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,213000,Board of Revision,2017,114600,70000,
433309A024.,2017,2017-396,Value in dispute,3/30/18,9/20/18,,43100,,,RP,R,43,,WASHINGTON TWP / FELICITY LSD,WASHINGTON TWP , FELICITY LSD,2620000,Board of Revision,2017,193100,150000,
302914A017.,2017,2017-397,Value in dispute,3/30/18,9/11/18,,35300,,,RP,R,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,4235000,Board of Revision,2017,240300,205000,
182516A078.,2017,2017-398,Value in dispute,3/30/18,7/26/18,,0,,,RP,C,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0316000,Board of Revision,2017,143200,143200,
182516A078T,2017,2017-398,Value in dispute,3/30/18,7/10/18,,752000,,,RP,E,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0316000,Board of Revision,2017,1056800,304800,
413105A162.,2017,2017-399,Value in dispute,3/30/18,8/2/18,,910910,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1658000,Board of Revision,2017,3185400,2274490,
413105A178.,2017,2017-399,Value in dispute,3/30/18,8/2/18,,910910,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1658000,Board of Revision,2017,3185400,2274490,
413215F120.,2017,2017-399,Value in dispute,3/30/18,8/2/18,,701280,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1652000,Board of Revision,2017,2452300,1751020,
413105A155.,2017,2017-400,Value in dispute,3/30/18,7/27/18,,349100,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1658000,Board of Revision,2017,3349100,3000000,
182406C174.,2017,2017-401,Value in dispute,3/30/18,9/11/18,,14300,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,111000,Board of Revision,2017,208800,194500,
413219.100.,2017,2017-402,Value in dispute,3/30/18,9/11/18,,41800,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1660000,Board of Revision,2017,71800,30000,
414244F114.,2017,2017-403,Value in dispute,3/30/18,10/12/18,No Change in Value,19300,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1512000,Board of Revision,2017,74300,55000,
290114.142.,2017,2017-404,Value in dispute,3/30/18,9/20/18,,12600,,,RP,R,29,,PIERCE TWP/AMELIA VILL/W CLER LSD,AMELIA VILL,W CLER LSD,2003000,Board of Revision,2017,92600,80000,
414246.002.,2017,2017-405,Value in dispute,3/30/18,9/20/18,,16700,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1618000,Board of Revision,2017,71700,55000,
414819.039.,2017,2017-405,Value in dispute,3/30/18,9/14/18,,38500,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1514000,Board of Revision,2017,123500,85000,
414135.091.,2017,2017-406,Value in dispute,3/30/18,9/14/18,,35000,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1407000,Board of Revision,2017,105000,70000,
414139.008.,2017,2017-406,Value in dispute,3/30/18,9/14/18,,13900,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1313000,Board of Revision,2017,58900,45000,
414238A008A,2017,2017-407,Value in dispute,3/30/18,9/20/18,,18400,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1338000,Board of Revision,2017,42700,24300,
282806C072.,2017,2017-408,Value in dispute,3/30/18,9/20/18,,-36700,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1837000,Board of Revision,2017,3300,40000,
282806C073.,2017,2017-408,Value in dispute,3/30/18,9/20/18,,-36700,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1837000,Board of Revision,2017,3300,40000,
282806C074.,2017,2017-408,Value in dispute,3/30/18,9/20/18,,-36000,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1837000,Board of Revision,2017,4000,40000,
282806C075.,2017,2017-408,Value in dispute,3/30/18,9/20/18,,13700,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1837000,Board of Revision,2017,53700,40000,
282806C076.,2017,2017-408,Value in dispute,3/30/18,9/20/18,,-36700,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1837000,Board of Revision,2017,3300,40000,
414231F058.,2017,2017-409,Value in dispute,3/30/18,9/20/18,,8800,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1316000,Board of Revision,2017,63600,54800,
414244A153.,2017,2017-409,Value in dispute,3/30/18,9/14/18,,24700,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1512000,Board of Revision,2017,79700,55000,
413213B303.,2017,2017-410,Value in dispute,3/30/18,9/14/18,,14000,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1329000,Board of Revision,2017,56100,42100,
413217G170.,2017,2017-410,Value in dispute,3/30/18,9/20/18,,6000,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1609000,Board of Revision,2017,52400,46400,
184010.046B,2017,2017-411,Value in dispute,3/30/18,9/14/18,,10200,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,106000,Board of Revision,2017,52700,42500,
060204.186A,2017,2017-412,Value in dispute,3/30/18,9/20/18,,900,,,RP,R,6,,BATAVIA TWP/ BATAVIA VILL/ BATAVIA LSD, BATAVIA VILL, BATAVIA LSD,4511000,Board of Revision,2017,900,,
060204.187A,2017,2017-412,Value in dispute,3/30/18,9/20/18,,6900,,,RP,R,6,,BATAVIA TWP/ BATAVIA VILL/ BATAVIA LSD, BATAVIA VILL, BATAVIA LSD,4511000,Board of Revision,2017,49400,42500,
414126.004.,2017,2017-413,Value in dispute,3/30/18,9/14/18,,15600,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1666000,Board of Revision,2017,80600,65000,
414231D032.,2017,2017-413,Value in dispute,3/30/18,9/20/18,,10300,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1316000,Board of Revision,2017,74500,64200,
414234.008.,2017,2017-413,Value in dispute,3/30/18,9/14/18,,11800,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1438000,Board of Revision,2017,61800,50000,
413106B093.,2017,2017-414,Value in dispute,3/30/18,9/14/18,,12500,,,RP,R,41,MILFORD,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1440000,Board of Revision,2017,62500,50000,
032019E071.,2017,2017-415,Value in dispute,3/30/18,9/14/18,,18600,,,RP,R,3,,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,4456000,Board of Revision,2017,98600,80000,
034443.016.,2017,2017-416,Value in dispute,3/30/18,10/12/18,No Change in Value,36900,,,RP,R,3,,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,4473000,Board of Revision,2017,61900,25000,
034443.018B,2017,2017-416,Value in dispute,3/30/18,10/12/18,No Change in Value,2400,,,RP,R,3,,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,4473000,Board of Revision,2017,2400,,
184003.009.,2017,2017-417,Value in dispute,3/30/18,9/14/18,,51600,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,131000,Board of Revision,2017,85200,33600,
014506.009.,2017,2017-418,Value in dispute,3/30/18,9/20/18,,35700,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,4480000,Board of Revision,2017,57700,22000,
443304A038.,2017,2017-419,Value in dispute,3/30/18,8/16/18,,75800,,,RP,R,44,,WASHINGTON TWP / NEW RICHMOND EVSD,WASHINGTON TWP , NEW RICHMOND EVSD,2607000,Board of Revision,2017,105800,30000,
323017G161.,2017,2017-420,Value in dispute,4/2/18,9/11/18,,89610,,,RP,A,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,A3019000,Board of Revision,2017,464610,375000,
222616A065.,2017,2017-421,Value in dispute,3/30/18,9/11/18,,58700,,,RP,R,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,2529000,Board of Revision,2017,557700,499000,
210702A009B,2017,2017-422,Value in dispute,3/29/18,9/13/18,,83810,,,RP,R,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,1128000,Board of Revision,2017,259900,176090,
393108G161.,2017,2017-423,Value in dispute,3/30/18,9/11/18,,-398600,,,RP,R,39,CINCINNATI,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,1340001,Board of Revision,2017,1400,400000,
393108G161T,2017,2017-423,Value in dispute,3/30/18,9/11/18,,46700,,,RP,E,39,CINCINNATI,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,1340001,Board of Revision,2017,446700,400000,
210716.079A,2017,2017-424,Value in dispute,3/30/18,6/13/18,,-70395,,,RP,R,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,1126000,Board of Revision,2017,11000,81395,
210716.080.,2017,2017-424,Value in dispute,3/30/18,6/13/18,,36705,,,RP,R,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,1126000,Board of Revision,2017,118100,81395,
036703G001G,2017,2017-425,Value in dispute,3/30/18,9/11/18,,354,,,RP,R,3,AMELIA,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,4489000,Board of Revision,2017,8800,8446,
036703G201.,2017,2017-425,Value in dispute,3/30/18,9/11/18,,8759,,,RP,R,3,AMELIA,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,4489000,Board of Revision,2017,157800,149041,
414818C157.,2017,2017-426,Value in dispute,3/30/18,6/13/18,,42500,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1317000,Board of Revision,2017,102500,60000,
182411B004.,2017,2017-427,Value in dispute,3/28/18,6/13/18,,32900,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,251000,Board of Revision,2017,142900,110000,
414244D039.,2017,2017-428,Value in dispute,3/29/18,8/29/18,,63400,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1512000,Board of Revision,2017,83400,20000,
284445A019B,2017,2017-429,Value in dispute,3/29/18,9/26/18,,23700,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1808000,Board of Revision,2017,62700,39000,
414133.024.,2017,2017-430,Value in dispute,3/29/18,9/14/18,,41511,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1531000,Board of Revision,2017,104500,62989,
192410E031.,2017,2017-431,Value in dispute,3/29/18,9/11/18,,-7880,,,RP,A,19,,MIAMI TWP / CLERMONT NE LSD,MIAMI TWP , CLERMONT NE LSD,A0137000,Board of Revision,2017,32120,40000,
182518K063.,2017,2017-432,Value in dispute,3/29/18,8/1/18,,3049200,,,RP,C,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0320000,Board of Revision,2017,8474200,5425000,
182518K065.,2017,2017-432,Value in dispute,3/29/18,8/1/18,,4300000,,,RP,I,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0320000,Board of Revision,2017,12800000,8500000,
184034.021.,2017,2017-433,Value in dispute,3/29/18,9/11/18,,20400,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,258000,Board of Revision,2017,155400,135000,
152308J018.,2017,2017-434,Value in dispute,3/29/18,9/14/18,,20360,,,RP,R,15,,JACKSON TWP / WILLIAMSBURG LSD,JACKSON TWP , WILLIAMSBURG LSD,3813000,Board of Revision,2017,65360,45000,
082125.072B,2017,2017-435,Value in dispute,3/29/18,9/26/18,,12660,,,RP,R,8,,FRANKLIN TWP / FELICITY LSD,FRANKLIN TWP , FELICITY LSD,2815000,Board of Revision,2017,60800,48140,
114337.044F,2017,2017-436,Value in dispute,3/29/18,9/5/18,,35200,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,4111000,Board of Revision,2017,50200,15000,
114337.045F,2017,2017-436,Value in dispute,3/29/18,9/5/18,,-8200,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,4111000,Board of Revision,2017,6800,15000,
114337.046F,2017,2017-436,Value in dispute,3/29/18,9/5/18,,-9300,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,4111000,Board of Revision,2017,5700,15000,
323011B105.,2017,2017-437,Value in dispute,3/29/18,9/20/18,,19100,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3019000,Board of Revision,2017,36100,17000,
323011B142.,2017,2017-437,Value in dispute,3/29/18,9/20/18,,29800,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3014000,Board of Revision,2017,168800,139000,
032019E193.,2017,2017-438,Value in dispute,3/29/18,9/11/18,,35400,,,RP,R,3,BATAVIA,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,4434000,Board of Revision,2017,356900,321500,
182517A125.,2017,2017-439,Value in dispute,3/29/18,9/11/18,,32900,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,473000,Board of Revision,2017,72900,40000,
493410A020.,2017,2017-440,Value in dispute,3/29/18,9/11/18,,52000,,,RP,R,49,,WAYNE TWP / CLERMONT NE LSD,WAYNE TWP , CLERMONT NE LSD,3921000,Board of Revision,2017,172000,120000,
413215C013.,2017,2017-441,Value in dispute,3/30/18,9/13/18,,32000,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1654000,Board of Revision,2017,232000,200000,
413216E140.,2017,2017-442,Value in dispute,3/28/18,8/1/18,,876820,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1647000,Board of Revision,2017,2326820,1450000,
112211A011.,2017,2017-443,Value in dispute,9/10/18,9/20/18,,49600,,,RP,A,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,A4175000,Board of Revision,2017,49600,,
182518G178.,2017,202,,9/12/17,10/27/17,Decrease Value,245400,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,310000,Informal,2017,245400,,
182517E128.,2017,203,,9/21/17,10/27/17,Decrease Value,323900,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,403000,Informal,2017,323900,,
184020H269.,2017,204,,9/21/17,10/27/17,Decrease Value,169300,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,213000,Informal,2017,169300,,
182411B185.,2017,205,,9/14/17,10/27/17,Decrease Value,196700,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,232000,Informal,2017,196700,,
222604E041.,2017,206,,9/19/17,10/30/17,No Change in Value,38400,,,RP,R,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,2516000,Informal,2017,38400,,
222604E054.,2017,206,,9/19/17,10/30/17,Decrease Value,33800,,,RP,R,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,2516000,Informal,2017,33800,,
222604I041.,2017,206,,9/18/17,10/27/17,No Change in Value,128860,,,RP,A,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,A2516000,Informal,2017,128860,,
232609E156.,2017,207,,9/14/17,10/30/17,Decrease Value,92300,,,RP,R,23,,MONROE TWP / WEST CLERMONT LSD,MONROE TWP , WEST CLERMONT LSD,2504000,Informal,2017,92300,,
252705F052.,2017,208,,8/31/17,10/30/17,Decrease Value,240000,,,RP,R,25,,OHIO TWP / WEST CLERMONT LSD,OHIO TWP , WEST CLERMONT LSD,2206000,Informal,2017,240000,,
260904.088B,2017,209,,9/6/17,10/30/17,Decrease Value,35600,,,RP,R,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,2403000,Informal,2017,35600,,
272813E137.,2017,210,,9/20/17,10/30/17,Decrease Value,432000,,,RP,R,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,1823000,Informal,2017,432000,,
282813E113.,2017,211,,9/12/17,10/30/17,Decrease Value,421300,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1834000,Informal,2017,421300,,
282806F153.,2017,212,,10/30/17,10/30/17,Decrease Value,427400,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1930000,Informal,2017,427400,,
302908B054.,2017,213,,9/11/17,10/30/17,Decrease Value,83400,,,RP,R,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,4221000,Informal,2017,83400,,
302908J044.,2017,214,,9/5/17,10/30/17,Decrease Value,47700,,,RP,R,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,4221000,Informal,2017,90700,43000,
323011C031P,2017,215,,8/29/17,10/30/17,Decrease Value,97200,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3019000,Informal,2017,97200,,
323019C013.,2017,216,,9/20/17,10/30/17,Decrease Value,150100,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3024000,Informal,2017,150100,,
323024A010.,2017,217,,8/30/17,10/30/17,Decrease Value,25900,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3024000,Informal,2017,25900,,
323023G126.,2017,218,,8/30/17,10/30/17,Decrease Value,82200,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3007000,Informal,2017,82200,,
373103F252.,2017,219,,9/7/17,10/30/17,No Change in Value,269600,,,RP,R,37,BATAVIA,UNION TWP / BATAVIA LSD,UNION TWP , BATAVIA LSD,1630000,Informal,2017,269600,,
393110A046P,2017,220,,9/15/17,10/30/17,Decrease Value,151200,,,RP,R,39,,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,1332000,Informal,2017,151200,,
414209A013.,2017,220,,9/15/17,10/30/17,Decrease Value,87900,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1315000,Informal,2017,87900,,
064544A011.,2017,222,,8/29/17,10/30/17,No Change in Value,156000,,,RP,R,6,,BATAVIA TWP/ BATAVIA VILL/ BATAVIA LSD, BATAVIA VILL, BATAVIA LSD,4709000,Informal,2017,156000,,
414139.010.,2017,222,,8/29/17,10/30/17,Decrease Value,105500,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1313000,Informal,2017,105500,,
413105F148.,2017,223,,9/7/17,9/7/17,Increase Value,189800,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1335000,Informal,2017,189800,,
413215C161.,2017,224,,9/1/17,10/30/17,Decrease Value,10500,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1686000,Informal,2017,10500,,
413215C161T,2017,224,,9/1/17,10/30/17,Decrease Value,207300,,,RP,E,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1686000,Informal,2017,207300,,
414212.003.,2017,225,,9/19/17,10/30/17,No Change in Value,152400,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1670000,Informal,2017,152400,,
414820.008.,2017,226,,10/18/17,10/30/17,Decrease Value,147500,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1621000,Informal,2017,147500,,
473404E040.,2017,227,,10/18/17,10/30/17,Decrease Value,92200,,,RP,R,47,,WAYNE TWP / BLANCHESTER LSD,WAYNE TWP , BLANCHESTER LSD,3905000,Informal,2017,92200,,
493408G029.,2017,228,,10/18/17,10/30/17,Decrease Value,140700,,,RP,R,49,,WAYNE TWP / CLERMONT NE LSD,WAYNE TWP , CLERMONT NE LSD,3922000,Informal,2017,140700,,
523515E072.,2017,229,,9/7/17,10/30/17,Decrease Value,114300,,,RP,R,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,3419000,Informal,2017,114300,,
112204J142.,2017,230,,10/24/17,10/30/17,No Change in Value,35710,,,RP,A,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,A4123000,Informal,2017,35710,,
112204J143.,2017,230,,10/24/17,10/30/17,No Change in Value,6380,,,RP,A,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,A4123000,Informal,2017,6380,,
112204J144.,2017,230,,10/24/17,10/30/17,Decrease Value,585470,,,RP,A,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,A4123000,Informal,2017,585470,,
060206.010A,2017,231,,10/23/17,10/30/17,Decrease Value,2800,,,RP,R,6,,BATAVIA TWP/ BATAVIA VILL/ BATAVIA LSD, BATAVIA VILL, BATAVIA LSD,4512000,Informal,2017,2800,,
012010C066.,2017,570,,8/25/17,10/16/17,Decrease Value,162000,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,4449000,Informal,2017,162000,,
012004E135.,2017,571,,8/25/17,10/27/17,Decrease Value,247500,,,RP,R,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,4499010,Informal,2017,247500,,
172519F165.,2017,572,,8/25/17,1/18/18,,314300,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,481000,Informal,2017,314300,,
242706B110P,2017,573,,8/25/17,10/30/17,Decrease Value,15900,,,RP,R,24,,OHIO TWP / NEW RICHMOND EVSD,OHIO TWP , NEW RICHMOND EVSD,2205000,Informal,2017,80900,65000,
182515G105.,2017,574,,8/25/17,1/18/18,,165100,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,420000,Informal,2017,165100,,
523508D031.,2017,575,,8/25/17,10/27/17,Decrease Value,138400,,,RP,R,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,3414000,Informal,2017,138400,,
182517J208.,2017,576,,8/28/17,10/27/17,Decrease Value,193400,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,444000,Informal,2017,193400,,
473404E036.,2017,577,,8/28/17,10/30/17,Decrease Value,94200,,,RP,R,47,,WAYNE TWP / BLANCHESTER LSD,WAYNE TWP , BLANCHESTER LSD,3905000,Informal,2017,94200,,
